article_id,title,blurb,url,thumbnail_url,section,sub_category,tags,published_at,estimated_read_time_mins,is_breaking,word_count
9a4f68f6-4d81-4aa1-830b-8f8b217fa27b,What is Curran's ultra-slow 'moon ball' leaving batters in a spin?,BBC Sport's Ask Me Anything team explains what is a 'moon ball' and how England's Sam Curran mastered the delivery in the first ODI against Sri Lanka.,https://www.bbc.com/sport/cricket/articles/c0q44le0z5wo?at_medium=RSS&at_campaign=rss,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/10fc/live/c4973200-f79b-11f0-b5f7-49f0357294ff.jpg,Sport,Cricket,"[""cricket"", ""sport"", ""ashes"", ""test match""]",2026-04-09T10:50:57,2,False,344
5c8a1fdf-dac7-4de9-9281-9a4ba5d7c9f6,Hantavirus survivor says sickness was like 'hell on earth',Two survivors who caught the hantavirus years earlier told the BBC they both felt lucky to be alive.,https://www.bbc.com/news/articles/cy72xmk1114o?at_medium=RSS&at_campaign=rss,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/9e38/live/2dd6cba0-4a1b-11f1-a7ce-b934bcb15ff4.jpg,News,Health,"[""health"", ""NHS"", ""medicine"", ""wellbeing""]",2026-04-10T14:36:02,2,False,946
f35ba674-8db1-4249-b3c3-c35ce50bd1d2,Record 1.3m apply for 2027 London marathon ballot,More than 1.3 million people have applied for next year's event which takes place on 25 April.,https://www.bbc.com/sport/athletics/articles/cd6p081y698o?at_medium=RSS&at_campaign=rss,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/ca41/live/1343f620-4884-11f1-bd52-e755d604ece4.jpg,Sport,Athletics,"[""athletics"", ""sport"", ""running"", ""olympics""]",2026-04-10T16:49:36,6,False,773
a1067ffa-2d57-4551-ae40-0486c9101848,"Ban 'forever chemicals' in uniforms and frying pans, MPs urge","School uniforms and non-stick pans are some of the everyday products that should stop using chemicals called PFAS, MPs say.",https://www.bbc.com/news/articles/ckg98q1yx9vo?at_medium=RSS&at_campaign=rss,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/ba3e/live/5fbcb360-3e3f-11f1-bb02-b7764f8dd2b3.jpg,Science,Environment,"[""science"", ""climate"", ""environment"", ""nature"", ""research""]",2026-04-10T17:35:59,6,False,928
eb2bad23-3764-4363-a131-06306a834c91,Royals bid farewell to US with visit to Arlington Cemetery and a block party,"King Charles' historic state visit, the first by a British monarch since Queen Elizabeth II's in 2007, has come to an end.",https://www.bbc.com/news/videos/c707wd724wjo?at_medium=RSS&at_campaign=rss,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/2797/live/e986f8e0-44f1-11f1-bd52-e755d604ece4.jpg,News,UK Politics,"[""politics"", ""UK"", ""government"", ""policy""]",2026-04-10T21:28:50,2,False,617
9cdc6dd8-6881-47fd-9ad3-2f7b247a17f9,FC Basel postpone fixture after stadium fire,"FC Basel's Swiss Super League match against FC Thun is postponed after a fire causes ""significant damage"" to Basel's St Jakob-Park stadium.",https://www.bbc.com/sport/football/articles/ce8jeg4k3p0o?at_medium=RSS&at_campaign=rss,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/fe9f/live/41f2a3e0-35a6-11f1-bfb7-dfacb91b9fa4.jpg,Sport,Football,"[""football"", ""sport"", ""premier league"", ""soccer""]",2026-04-11T08:58:18,6,False,319
4e30e868-4f62-4087-9c39-5f8aad7adfc4,Unmasking the coach who led Man City to WSL title glory,Who is the Swedish mastermind who has guided Manchester City to a first Women's Super League title for a decade?,https://www.bbc.com/sport/football/articles/cwy2jvd3g0zo?at_medium=RSS&at_campaign=rss,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/2256/live/b6a6a090-49f3-11f1-b55d-0f258dce1735.jpg,Sport,Football,"[""football"", ""sport"", ""premier league"", ""soccer""]",2026-04-11T11:04:28,3,False,420
3789452f-1f3b-46e3-83bc-f0daf3516855,Baptiste saves six match points to stun Sabalenka,Hailey Baptiste saves six match points as she stuns world number one and defending champion Aryna Sabalenka in the quarter-finals of the Madrid Open.,https://www.bbc.com/sport/tennis/articles/c1e2p5lz6wyo?at_medium=RSS&at_campaign=rss,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/5cf6/live/a5e90720-4390-11f1-a65b-5d06945f9974.jpg,Sport,Tennis,"[""tennis"", ""sport"", ""wimbledon"", ""grand slam""]",2026-04-12T06:03:30,5,False,380
29d03ee8-9ec5-4238-9f1e-d215ae090af6,Tech Life,Workers train AI to identify everyday objects by labelling items in photos and videos.,https://www.bbc.co.uk/sounds/play/w3ct8jxs?at_medium=RSS&at_campaign=rss,https://ichef.bbci.co.uk/images/ic/240x135/p0nh4hhr.jpg,Technology,Tech & AI,"[""technology"", ""AI"", ""internet"", ""innovation"", ""data""]",2026-04-12T10:38:24,5,False,801
0d927460-b49b-4468-b7cf-e40f4fc6d833,Oscars says AI actors and writing cannot win awards,The academy that controls the Oscars on Friday issued new award eligibility requirements around the use of artificial intelligence in film.,https://www.bbc.com/news/articles/cx21dl3v7d3o?at_medium=RSS&at_campaign=rss,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/44b2/live/660b2060-45ad-11f1-b552-73094d4d31d4.jpg,Technology,Tech & AI,"[""technology"", ""AI"", ""internet"", ""innovation"", ""data""]",2026-04-12T22:02:42,4,False,555
e454ee18-6449-4220-834f-9a1a7b91ae40,King and Queen lead tributes for David Attenborough's 100th birthday,The royal couple shared photographs of Sir David and wished him a very happy birthday.,https://www.bbc.com/news/articles/cp3pww9g0p5o?at_medium=RSS&at_campaign=rss,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/4ee8/live/01ccbf70-4ace-11f1-a909-a5874e7743fb.jpg,News,UK Politics,"[""politics"", ""UK"", ""government"", ""policy""]",2026-04-12T22:41:17,2,False,280
17468efd-8578-4df2-b8c0-b9623118eb3a,Jimenez suspended as Bournemouth launch investigation,AFC Bournemouth drop defender Alex Jimenez from their squad amid an investigation into posts on social media.,https://www.bbc.com/sport/football/articles/cjdpx3n9rvyo?at_medium=RSS&at_campaign=rss,https://ichef.bbci.co.uk/ace/standard/240/cpsprodpb/3503/live/88312b20-4ad1-11f1-92c1-4f69e4cb55db.jpg,Sport,Football,"[""football"", ""sport"", ""premier league"", ""soccer""]",2026-04-13T06:18:46,4,False,658
